net,length_um
clknet_leaf_52_clk,120.76µm
clknet_leaf_214_clk,120.68µm
_05500_,120.62µm
clknet_leaf_153_clk,120.51µm
net810,120.36µm
_00080_,120.2µm
clknet_leaf_257_clk,119.8µm
clknet_leaf_31_clk,119.66µm
_00180_,119.645µm
clknet_leaf_246_clk,119.3µm
_00026_,119.2µm
net1659,118.96µm
net1011,118.86µm
clknet_leaf_114_clk,118.7µm
clknet_leaf_251_clk,118.28µm
clknet_leaf_240_clk,117.98µm
clknet_leaf_256_clk,117.8µm
clknet_leaf_145_clk,117.46µm
net818,117.405µm
net809,117.18µm
clknet_leaf_20_clk,116.7µm
clknet_leaf_212_clk,116.58µm
_03283_,116.46µm
clknet_leaf_48_clk,116.44µm
_05482_,116.42µm
_00171_,116.225µm
net1296,115.74µm
net958,115.67µm
net1121,115.58µm
net732,115.07µm
_00175_,114.935µm
clknet_leaf_194_clk,114.68µm
clknet_leaf_230_clk,114.5µm
net759,114.46µm
_05434_,114.42µm
clknet_leaf_36_clk,114.24µm
_05461_,114.23µm
_00004_,114.185µm
net17,114.04µm
clknet_leaf_24_clk,113.86µm
net262,113.82µm
clknet_leaf_49_clk,113.46µm
_00174_,113.445µm
_05478_,113.44µm
_00131_,113.12µm
clknet_leaf_12_clk,113.12µm
_00018_,113.105µm
_00002_,113.06µm
clknet_leaf_8_clk,112.88µm
_05430_,112.84µm
clknet_leaf_221_clk,112.56µm
clknet_leaf_108_clk,112.375µm
_00160_,112.245µm
net1164,111.82µm
clknet_leaf_166_clk,111.6µm
clknet_leaf_47_clk,111.395µm
clknet_leaf_45_clk,110.96µm
net719,110.88µm
net705,110.86µm
clknet_leaf_158_clk,110.86µm
clknet_leaf_87_clk,110.66µm
clknet_leaf_226_clk,110.6µm
clknet_leaf_15_clk,110.26µm
_05481_,110.24µm
clknet_leaf_143_clk,110.12µm
clknet_leaf_11_clk,110.04µm
_05511_,109.88µm
clknet_leaf_182_clk,109.84µm
clknet_leaf_195_clk,109.73µm
net1351,109.725µm
clknet_leaf_144_clk,109.705µm
clknet_leaf_167_clk,109.7µm
clknet_leaf_30_clk,109.44µm
_00022_,109.42µm
_03514_,109.35µm
net738,109.28µm
clknet_leaf_247_clk,109.24µm
_05467_,109.04µm
net22,109.035µm
_05460_,108.88µm
_00126_,108.745µm
net938,108.56µm
clknet_leaf_54_clk,108.43µm
_05534_,108.39µm
clknet_leaf_141_clk,108.32µm
net1159,108.16µm
clknet_leaf_85_clk,108.13µm
clknet_leaf_254_clk,107.86µm
net1087,107.81µm
clknet_leaf_94_clk,107.62µm
clknet_leaf_157_clk,107.48µm
net974,107.36µm
net819,107.24µm
clknet_leaf_46_clk,107.06µm
net752,106.92µm
clknet_leaf_118_clk,106.9µm
clknet_leaf_171_clk,106.82µm
net779,106.7µm
net30,106.56µm
clknet_leaf_61_clk,106.5µm
net10,106.48µm
clknet_leaf_130_clk,106.44µm
net886,106.38µm
net250,106.16µm
net793,106.14µm
clknet_leaf_109_clk,106.1µm
_00164_,105.925µm
clknet_leaf_55_clk,105.9µm
_05424_,105.84µm
net1000,105.825µm
net722,104.905µm
net31,104.88µm
clknet_leaf_91_clk,104.86µm
clknet_leaf_68_clk,104.84µm
clknet_leaf_211_clk,104.82µm
clknet_leaf_267_clk,104.72µm
clknet_leaf_40_clk,104.68µm
net15,104.59µm
net789,104.2µm
clknet_leaf_120_clk,104.2µm
net1100,104.18µm
clknet_leaf_241_clk,103.56µm
clknet_leaf_70_clk,103.54µm
_00007_,103.395µm
net766,103.3µm
fsm.tag_out1\[17\],103.275µm
net1390,103.165µm
_00001_,102.685µm
clknet_leaf_192_clk,102.54µm
clknet_leaf_228_clk,102.52µm
clknet_leaf_105_clk,102.48µm
_05524_,102.36µm
_05367_,102.28µm
clknet_leaf_206_clk,102.24µm
net735,102.22µm
net922,102.14µm
net4,101.96µm
clknet_leaf_179_clk,101.76µm
_05375_,101.64µm
net1018,101.24µm
_05488_,100.98µm
net704,100.94µm
net870,100.92µm
clknet_leaf_215_clk,100.86µm
net1666,100.66µm
net815,100.53µm
clknet_leaf_123_clk,100.48µm
net1079,100.3µm
_00073_,99.825µm
net906,99.8µm
net916,99.75µm
net910,99.56µm
clknet_leaf_103_clk,99.52µm
net888,99.44µm
clknet_leaf_213_clk,99.23µm
net824,99.19µm
_00148_,99.145µm
net784,99.08µm
clknet_leaf_97_clk,98.6µm
net882,98.32µm
net1034,98µm
